,Высота,Скорость,Ускорение по x,Ускорение по y
0,48.25824305555556,96.51648611111112,5.9099302890461095e-15,96.51648611111112
1,188.3284436963349,183.6239151704475,5.3337917089735704e-15,87.10742905933637
2,403.18266088069754,246.08451919827775,3.8246089397746286e-15,62.46060402783023
3,666.9439804929755,281.43812002627817,2.1647837046171983e-15,35.35360082800045
4,956.6429653147956,297.959849617362,1.0116641630049483e-15,16.521729591083865
5,1258.0331035064223,304.8204267658916,4.2008919226251213e-16,6.860577148529593
6,1564.199840734781,307.51304769082566,1.6487547985188082e-16,2.692620924934006
7,1872.2313357360727,308.54994231175743,6.349148392885898e-17,1.036894620931753
8,2180.982054968342,308.9514961527808,2.4588081304731203e-17,0.40155384102339353
9,2490.014084473114,309.11256285676416,9.862491174120603e-18,0.16106670398334041
10,2799.1619040262585,309.1830762495249,4.317700037072527e-18,0.07051339276073197
11,3108.3632207721903,309.21955724233874,2.2338165539589807e-18,0.03648099281383418
12,3417.5946258011973,309.2432528156755,1.450935402039961e-18,0.023695573336739356
13,3726.8473226606357,309.2621409032012,1.156561796521281e-18,0.018888087525750677
14,4036.118000868407,309.27921551234067,1.0455182714678112e-18,0.017074609139479918
15,4345.405408552465,309.2955998557756,1.0032516871858797e-18,0.01638434343492969
16,4654.709066050444,309.31171514018206,9.867765732859966e-19,0.01611528440645954
17,4964.02878322396,309.3277192068501,9.799664509157144e-19,0.016004066668005912
18,5273.364478385069,309.3436711153661,9.767726852217131e-19,0.015951908516019155
19,5582.716110386373,309.35959288724115,9.749273481789049e-19,0.015921771875085734
20,5892.083653162569,309.37549266515157,9.735806062575658e-19,0.015899777910421367
21,6201.4670861940485,309.3913733978081,9.724144207962082e-19,0.015880732656521717
22,6510.866390940829,309.4072360957529,9.713101132003654e-19,0.015862697944854454
23,6820.281549514283,309.423081051155,9.702236957906453e-19,0.01584495540209884
24,7129.712544186983,309.4389082942443,9.691391294324471e-19,0.01582724308930868
25,7439.159357215927,309.45471776364485,9.680508048802865e-19,0.015809469400553385
26,7748.621970782526,309.4705093695522,9.66956981389711e-19,0.015791605907318648
27,8058.100366975718,309.48628301683266,9.658573326436452e-19,0.01577364728044221
28,8367.594527790723,309.5020386131764,9.64752031552321e-19,0.015755596343762446
29,8677.104435133167,309.5177760717129,9.636414111715962e-19,0.015737458536494293
30,8986.630070824827,309.5334953116052,9.625258409546143e-19,0.015719239892265466
31,9296.171416609595,309.5491962579325,9.614056831698535e-19,0.01570094632736919
32,9605.728454159234,309.56487884134594,9.60281278979535e-19,0.015682583413407364
33,9915.301165078743,309.58054299767133,9.591529452608146e-19,0.015664156325376658
34,10224.88953091134,309.59618866752237,9.580209751811785e-19,0.01564566985106547
35,10571.546597806391,383.7179451225821,4.538648589493426e-15,74.1217564550597
36,10986.225568341666,445.6399959479693,3.791632066997508e-15,61.922050825387196
37,11456.731534884242,495.37193713718096,3.045203129637626e-15,49.7319411892117
38,11971.416454320713,533.9979017357616,2.365158195481537e-15,38.62596459858062
39,12520.011058368487,563.1913063597862,1.787580476451258e-15,29.193404624024517
40,13094.00159899234,584.7897748879195,1.3225247674731718e-15,21.598468528133417
41,13686.653221425917,600.513469979234,9.627986432173613e-16,15.723695091314479
42,14292.82299218808,611.8260715450907,6.926970648827928e-16,11.31260156585679
43,14908.684903426798,619.8977509323473,4.942478162673741e-16,8.071679387256614
44,15531.446431520908,625.625305255874,3.5071155346247583e-16,5.727554323526666
45,16159.097228707366,629.6762891170407,2.4805122094877286e-16,4.050983861166759
46,16790.20420669511,632.5376668584521,1.7520885460854538e-16,2.861377741411362
47,17423.752889798227,634.5596993477766,1.2381378079115737e-16,2.022032489324454
48,18059.028668249426,635.9918575546208,8.76943981942134e-17,1.4321582068441228
49,18695.529902479677,637.0106109058778,6.238065153687572e-17,1.018753351256992
50,19332.905304075393,637.740192285554,4.467397506689992e-17,0.7295813796762247
51,19970.909283954617,638.2677674728939,3.230466322426187e-17,0.5275751873397886
52,20609.370343182014,638.6543509818963,2.367141284514772e-17,0.3865835090024108
53,21289.922164473668,722.449291601412,5.13096029072162e-15,83.79494061951569
54,22052.39711263577,802.5006047227897,4.9017292190818845e-15,80.05131312137769
55,22892.920181616184,878.545533238045,4.656408914879831e-15,76.04492851525525
56,23807.390840513963,950.3957845575134,4.399559014815995e-15,71.85025131946843
57,24791.5562784113,1017.9350912371603,4.135589787093054e-15,67.53930667964693
58,25841.081105333156,1081.114562606552,3.868626869217365e-15,63.17947136939163
59,26951.611555290743,1139.946337308621,3.602407228852344e-15,58.83177470206888
60,28118.832760624427,1194.4960733587445,3.3402079824058387e-15,54.54973605012354
61,29338.518193739154,1244.874792870705,3.0848068797732363e-15,50.37871951196049
62,30606.57086215083,1291.2305439526506,2.8384711092288083e-15,46.35575108194563
63,31942.462513794653,1380.5527593349962,5.469408258036997e-15,89.32221538234555
64,33367.105340988695,1468.7328950530873,5.39947604777697e-15,88.18013571809107
65,34879.32712357757,1555.710670124653,5.3258526919175685e-15,86.97777507156569
66,36477.89727886327,1641.4296404467427,5.248773131557702e-15,85.71897032208965
67,38161.53074924313,1725.8373003129873,5.168478523935751e-15,84.40765986624464
68,39928.89197900491,1808.8851592105789,5.085214728748831e-15,83.04785889759162
69,41778.5989557376,1890.528794254797,4.99923081638283e-15,81.64363504421829
70,43718.083874952616,1988.4410441752366,5.995396173119102e-15,97.91224992043958
71,45755.50846618796,2086.4081382954505,5.998754411804362e-15,97.96709412021376
72,47890.92863023878,2184.4321898061858,6.002242046103863e-15,98.0240515107353
