,Высота,Скорость,Ускорение по x,Ускорение по y
0,49.03472222222222,0.0,6.0050215616524045e-15,98.06944444444444
1,189.92645433435015,98.06944444444444,5.2442177524395755e-15,85.64457533536697
2,401.2042298663491,183.7140197798114,3.3755865254396006e-15,55.12751150437523
3,653.6275064672031,238.84153128418663,1.663284092889122e-15,27.16349063333469
4,925.9325802961839,266.00502191752133,7.715338407831027e-16,12.600103822918978
5,1208.162410915077,278.6051257404403,4.438983227250985e-16,7.249409756905547
6,1496.8507035539637,285.85453549734586,3.4703516129490334e-16,5.667514283081827
7,1791.0615322216377,291.52204978042766,3.292804457881016e-16,5.3775577744923595
8,2090.726582705767,296.89960755492,3.386690831481333e-16,5.530885858419389
9,2396.086976675187,302.4304934133394,3.588093337824213e-16,5.859801112161292
10,2707.519394887076,308.29029452550066,3.8479917150605277e-16,6.2842473727766235
11,3025.1773443206343,314.5745418982773,3.776085168548571e-16,6.166815070561778
12,3348.9602840357848,320.74135696883906,3.724864574611924e-16,6.083165492622557
13,3678.9461201748827,326.82452246146164,3.8714926764179733e-16,6.322627355272487
14,4015.4539800854873,333.1471498167341,4.115682859320718e-16,6.721420187741015
15,4358.934872442493,339.8685700044751,4.423819006514793e-16,7.224644705060802
16,4709.938000867485,347.0932147095359,4.788263316576247e-16,7.81982743091318
17,5069.107500228389,354.9130421404491,5.212656710737389e-16,8.512914440909238
18,5437.077353878532,363.4259565813583,5.564669000942967e-16,9.087794137570615
19,5814.00615533011,372.5137507189289,5.4068777478117e-16,8.83010146529788
20,6199.904776666062,381.3438521842268,5.577983462516034e-16,9.109538303451481
21,6595.209440713085,390.4533904876783,5.941096636239601e-16,9.702547118689282
22,7000.6257737024725,400.15593760636756,6.442126368064189e-16,10.520790766038745
23,7417.073696017187,410.67672837240633,7.067674188706291e-16,11.542387884616334
24,7845.683950019736,422.2191162570227,7.826886382967908e-16,12.782275491051445
25,8287.298781489028,435.0013917480741,8.099127785942662e-16,13.226879442434488
26,8742.493518428393,448.2282711905086,8.531459980708306e-16,13.93293149771549
27,9212.221754163798,462.16120268822414,9.266942800271426e-16,15.134066094360323
28,9697.907449220173,477.29526878258446,1.0275308679678274e-15,16.780852547579176
29,10201.435629680043,494.07612133016363,1.157543395854731e-15,18.90411825941419
30,10724.452057269067,512.9802395895779,1.229078550916192e-15,20.072375998890855
31,11267.26037018597,533.0526155884687,1.1947283506717542e-15,19.511394656868752
32,11829.810699735473,552.5640102453375,1.222971397110971e-15,19.972638608331014
33,12412.974858668233,572.5366488536686,1.3014946201264388e-15,21.255020158180958
34,13018.408792280325,593.7916690118495,1.4257662077512772e-15,23.284529200483785
35,13648.531163834285,617.0761982123333,1.5976954423945355e-15,26.092346683254522
36,14306.605393817717,643.1685448955878,1.8254199531927055e-15,29.811370175688758
37,14996.932618233355,672.9799150712767,2.124432686239089e-15,34.694618688722365
38,15725.18905074949,707.674533759999,2.520555643207682e-15,41.16379751227196
39,16494.149055760914,748.8383312722709,2.464194333814209e-15,40.24334747830766
40,17303.59679311763,789.0816787505786,2.4941228483252975e-15,40.73211721227382
41,18154.74360628897,829.8137959628524,2.612541124052525e-15,42.66603441696786
42,19050.290294214665,872.4798303798202,2.8248753259944668e-15,46.13371509175143
43,19994.58375164641,918.6135454715717,3.144882198441118e-15,51.359823920345164
44,20993.939203850823,969.9733693919169,3.598267366860897e-15,58.76416562499736
45,22052.409004079807,1028.7375350169143,3.64115234233624e-15,59.4645304241411
46,23171.3452522136,1088.2020654410553,3.763851845906794e-15,61.46836538547007
47,24353.520238244026,1149.6704308265255,3.980659948816341e-15,65.0091104077981
48,25603.381011990758,1214.6795412343236,4.308458378637915e-15,70.36246502481583
49,26925.70577670741,1285.0420062591393,4.565821080837719e-15,74.56551691502598
50,28323.49490280346,1359.6075231741652,4.675897780460312e-15,76.36320584377232
51,29799.114814372166,1435.9707290179374,4.8556244499607406e-15,79.29836510153646
52,31356.17161450349,1515.269094119474,5.117518041112681e-15,83.5754120237067
53,32943.40594532683,1598.8445061431808,-1.421836404299139e-15,-23.220350639695898
54,34508.695533330436,1575.6241555034849,-1.2656195009292274e-15,-20.66913499974688
55,36054.49717672722,1554.955020503738,-1.1209653975419802e-15,-18.30675421390788
56,37583.09418134659,1536.6482662898302,-9.859951833827633e-16,-16.10252334092167
57,39096.62486231068,1520.5457429489086,-8.590973205526559e-16,-14.03012396963423
58,40597.10713389374,1506.5156189792744,-7.388719576914628e-16,-12.066694792423322
59,42087.29155824037,1494.4489241868512,-5.222506079288455e-16,-8.528999680437769
60,43568.96675441417,1485.9199245064135,-5.19829296578594e-16,-8.489456665228202
61,45042.17201651981,1477.4304678411854,-5.174384679767355e-16,-8.450411471078784
62,46506.94614492395,1468.9800563701067,-5.150776220966708e-16,-8.411855931935445
63,47963.32745433118,1460.5682004381713,-5.127462699429108e-16,-8.3737820618958
64,49411.35378168227,1452.1944183762755,-5.10443933254218e-16,-8.336182050361113
65,50851.062493879515,1443.8582363259145,-5.08170144216242e-16,-8.299048257343257
66,52282.49049534363,1435.5591880685713,-5.05924445183293e-16,-8.262373208920929
67,53705.674235406856,1427.2968148596503,-5.037063884089185e-16,-8.226149592839644
68,55120.64971554654,1419.0706652668107,-5.015155357849664e-16,-8.190370254250304
69,56527.45249646331,1410.8802950125603,-4.993514585888201e-16,-8.155028191581245
70,57926.117705008015,1402.725266820979,-4.972137372385146e-16,-8.12011655253897
71,59316.680040961335,1394.60515026844,-4.9510196105545e-16,-8.085628630232966
